04/11 07:00:12 PM: Epoch: 072, Loss: 0.0349765, valid acc: 0.7940366, valid auc: 0.8074969, test acc: 0.8118319, test auc: 0.8164332
04/11 07:00:46 PM: Epoch: 073, Loss: 0.0303623, valid acc: 0.7945301, valid auc: 0.8077098, test acc: 0.8108445, test auc: 0.8170827
04/11 07:01:20 PM: Epoch: 074, Loss: 0.0359251, valid acc: 0.7933374, valid auc: 0.8065554, test acc: 0.8083974, test auc: 0.8154112
04/11 07:01:54 PM: Epoch: 075, Loss: 0.0393940, valid acc: 0.7926794, valid auc: 0.8065615, test acc: 0.8099858, test auc: 0.8169045
04/11 07:02:29 PM: Epoch: 076, Loss: 0.0322013, valid acc: 0.7934197, valid auc: 0.8070577, test acc: 0.8103293, test auc: 0.8174121
04/11 07:03:03 PM: Epoch: 077, Loss: 0.0237325, valid acc: 0.7937487, valid auc: 0.8063788, test acc: 0.8103293, test auc: 0.8169700
04/11 07:03:37 PM: Epoch: 078, Loss: 0.0267157, valid acc: 0.7918158, valid auc: 0.8066564, test acc: 0.8099000, test auc: 0.8167134
04/11 07:04:11 PM: Epoch: 079, Loss: 0.0261825, valid acc: 0.7945713, valid auc: 0.8074469, test acc: 0.8106298, test auc: 0.8156606
04/11 07:04:46 PM: Epoch: 080, Loss: 0.0310956, valid acc: 0.7925149, valid auc: 0.8061040, test acc: 0.8108445, test auc: 0.8158085
04/11 07:05:20 PM: Epoch: 081, Loss: 0.0388545, valid acc: 0.7927617, valid auc: 0.8065376, test acc: 0.8092131, test auc: 0.8162816
04/11 07:05:54 PM: Epoch: 082, Loss: 0.0349464, valid acc: 0.7911166, valid auc: 0.8063698, test acc: 0.8101576, test auc: 0.8159964
04/11 07:06:28 PM: Epoch: 083, Loss: 0.0367166, valid acc: 0.7930084, valid auc: 0.8064644, test acc: 0.8094707, test auc: 0.8157221
04/11 07:07:03 PM: Epoch: 084, Loss: 0.0426913, valid acc: 0.7938721, valid auc: 0.8069219, test acc: 0.8107586, test auc: 0.8159543
04/11 07:07:37 PM: Epoch: 085, Loss: 0.0474515, valid acc: 0.7941189, valid auc: 0.8062384, test acc: 0.8109303, test auc: 0.8159544
04/11 07:08:11 PM: Epoch: 086, Loss: 0.0493554, valid acc: 0.7926794, valid auc: 0.8038645, test acc: 0.8085262, test auc: 0.8138106
04/11 07:08:45 PM: Epoch: 087, Loss: 0.0577835, valid acc: 0.7923093, valid auc: 0.8052852, test acc: 0.8103293, test auc: 0.8156665
04/11 07:09:20 PM: Epoch: 088, Loss: 0.0634908, valid acc: 0.7924327, valid auc: 0.8051638, test acc: 0.8090843, test auc: 0.8147697
04/11 07:09:54 PM: Epoch: 089, Loss: 0.0648854, valid acc: 0.7910343, valid auc: 0.8057749, test acc: 0.8062937, test auc: 0.8146776
04/11 07:10:28 PM: Epoch: 090, Loss: 0.0594578, valid acc: 0.7931318, valid auc: 0.8064815, test acc: 0.8100717, test auc: 0.8160166
04/11 07:11:02 PM: Epoch: 091, Loss: 0.1011978, valid acc: 0.7944067, valid auc: 0.8050427, test acc: 0.8101576, test auc: 0.8159617
04/11 07:11:37 PM: Epoch: 092, Loss: 0.0979497, valid acc: 0.7939543, valid auc: 0.8056191, test acc: 0.8098141, test auc: 0.8146222
04/11 07:12:11 PM: Epoch: 093, Loss: 0.0828171, valid acc: 0.7947769, valid auc: 0.8066906, test acc: 0.8113167, test auc: 0.8155331
04/11 07:12:45 PM: Epoch: 094, Loss: 0.0608305, valid acc: 0.7947358, valid auc: 0.8058036, test acc: 0.8099000, test auc: 0.8157045
04/11 07:13:19 PM: Epoch: 095, Loss: 0.0595519, valid acc: 0.7931729, valid auc: 0.8057271, test acc: 0.8100717, test auc: 0.8156490
04/11 07:13:54 PM: Epoch: 096, Loss: 0.0556365, valid acc: 0.7950236, valid auc: 0.8063805, test acc: 0.8108445, test auc: 0.8168823
04/11 07:14:28 PM: Epoch: 097, Loss: 0.0473141, valid acc: 0.7907876, valid auc: 0.8048252, test acc: 0.8074958, test auc: 0.8156377
04/11 07:15:02 PM: Epoch: 098, Loss: 0.0440346, valid acc: 0.7942011, valid auc: 0.8059452, test acc: 0.8100288, test auc: 0.8154662
04/11 07:15:36 PM: Epoch: 099, Loss: 0.0469913, valid acc: 0.7935020, valid auc: 0.8058352, test acc: 0.8104151, test auc: 0.8159075
04/11 07:16:11 PM: Epoch: 100, Loss: 0.0498577, valid acc: 0.7914456, valid auc: 0.8047189, test acc: 0.8092560, test auc: 0.8151553
04/11 07:16:44 PM: Epoch: 101, Loss: 0.0547147, valid acc: 0.7918980, valid auc: 0.8045776, test acc: 0.8097712, test auc: 0.8156490
04/11 07:17:18 PM: Epoch: 102, Loss: 0.0494282, valid acc: 0.7914045, valid auc: 0.8051221, test acc: 0.8086979, test auc: 0.8145548
04/11 07:17:52 PM: Epoch: 103, Loss: 0.0479649, valid acc: 0.7938721, valid auc: 0.8058941, test acc: 0.8099429, test auc: 0.8165658
04/11 07:18:27 PM: Epoch: 104, Loss: 0.0545180, valid acc: 0.7929673, valid auc: 0.8046253, test acc: 0.8090413, test auc: 0.8149144
04/11 07:19:01 PM: Epoch: 105, Loss: 0.0722463, valid acc: 0.7931729, valid auc: 0.8056284, test acc: 0.8089984, test auc: 0.8156824
04/11 07:19:35 PM: Epoch: 106, Loss: 0.0703835, valid acc: 0.7920625, valid auc: 0.8049749, test acc: 0.8087408, test auc: 0.8151430
04/11 07:20:09 PM: Epoch: 107, Loss: 0.0722773, valid acc: 0.7926794, valid auc: 0.8057063, test acc: 0.8097282, test auc: 0.8163422
04/11 07:20:44 PM: Epoch: 108, Loss: 0.0768784, valid acc: 0.7948591, valid auc: 0.8058968, test acc: 0.8115314, test auc: 0.8158100
04/11 07:21:18 PM: Epoch: 109, Loss: 0.0674483, valid acc: 0.7946124, valid auc: 0.8052175, test acc: 0.8103293, test auc: 0.8158073
04/11 07:21:52 PM: Epoch: 110, Loss: 0.0611960, valid acc: 0.7932141, valid auc: 0.8043630, test acc: 0.8086550, test auc: 0.8148065
04/11 07:22:26 PM: Epoch: 111, Loss: 0.0545495, valid acc: 0.7917335, valid auc: 0.8039462, test acc: 0.8095136, test auc: 0.8142925
04/11 07:23:01 PM: Epoch: 112, Loss: 0.0499909, valid acc: 0.7939132, valid auc: 0.8045912, test acc: 0.8099858, test auc: 0.8138645
04/11 07:23:35 PM: Epoch: 113, Loss: 0.0460486, valid acc: 0.7945713, valid auc: 0.8056310, test acc: 0.8094277, test auc: 0.8153666
04/11 07:24:09 PM: Epoch: 114, Loss: 0.0497575, valid acc: 0.7944479, valid auc: 0.8052500, test acc: 0.8106727, test auc: 0.8152005
04/11 07:24:43 PM: Epoch: 115, Loss: 0.0563635, valid acc: 0.7938721, valid auc: 0.8039786, test acc: 0.8103722, test auc: 0.8144977
04/11 07:25:18 PM: Epoch: 116, Loss: 0.0540984, valid acc: 0.7942422, valid auc: 0.8052352, test acc: 0.8111879, test auc: 0.8144275
04/11 07:25:52 PM: Epoch: 117, Loss: 0.0469389, valid acc: 0.7939132, valid auc: 0.8055240, test acc: 0.8109303, test auc: 0.8154993
04/11 07:26:26 PM: Epoch: 118, Loss: 0.0447480, valid acc: 0.7932552, valid auc: 0.8034128, test acc: 0.8089125, test auc: 0.8132606
04/11 07:27:00 PM: Epoch: 119, Loss: 0.0436953, valid acc: 0.7923504, valid auc: 0.8044881, test acc: 0.8083115, test auc: 0.8141940
04/11 07:27:35 PM: Epoch: 120, Loss: 0.0485615, valid acc: 0.7925972, valid auc: 0.8013007, test acc: 0.8073670, test auc: 0.8128778
04/11 07:28:09 PM: Epoch: 121, Loss: 0.0537751, valid acc: 0.7936253, valid auc: 0.8039805, test acc: 0.8099000, test auc: 0.8143446
04/11 07:28:42 PM: Epoch: 122, Loss: 0.0561793, valid acc: 0.7944890, valid auc: 0.8044507, test acc: 0.8095565, test auc: 0.8143926
04/11 07:29:16 PM: Epoch: 123, Loss: 0.0541806, valid acc: 0.7948591, valid auc: 0.8053687, test acc: 0.8100288, test auc: 0.8149105
04/11 07:29:51 PM: Epoch: 124, Loss: 0.0527013, valid acc: 0.7937076, valid auc: 0.8045016, test acc: 0.8102434, test auc: 0.8151713
04/11 07:30:25 PM: Epoch: 125, Loss: 0.0478863, valid acc: 0.7949003, valid auc: 0.8048989, test acc: 0.8094277, test auc: 0.8155164
04/11 07:30:59 PM: Epoch: 126, Loss: 0.0433228, valid acc: 0.7939543, valid auc: 0.8047848, test acc: 0.8095136, test auc: 0.8152179
04/11 07:31:33 PM: Epoch: 127, Loss: 0.0414146, valid acc: 0.7930084, valid auc: 0.8040681, test acc: 0.8087838, test auc: 0.8141979
04/11 07:32:08 PM: Epoch: 128, Loss: 0.0361695, valid acc: 0.7937898, valid auc: 0.8053418, test acc: 0.8090413, test auc: 0.8143478
04/11 07:32:42 PM: Epoch: 129, Loss: 0.0362624, valid acc: 0.7934197, valid auc: 0.8051109, test acc: 0.8100288, test auc: 0.8151553
04/11 07:33:16 PM: Epoch: 130, Loss: 0.0359651, valid acc: 0.7937487, valid auc: 0.8050810, test acc: 0.8090413, test auc: 0.8150923
04/11 07:33:49 PM: Epoch: 131, Loss: 0.0400606, valid acc: 0.7932141, valid auc: 0.8051311, test acc: 0.8105439, test auc: 0.8143426
04/11 07:34:24 PM: Epoch: 132, Loss: 0.0465941, valid acc: 0.7934197, valid auc: 0.8053101, test acc: 0.8096424, test auc: 0.8149031
